shard,user,first_id,first_cid,bytes
1,1,1606414987667,1606414977698,248949
1,10,1534023944525,1338237820881,5192249
1,100,1591465710507,1296169988801,10974654
1,1000,1654028402963,1369230497769,2010384
1,10000,1613665737008,1613511361212,183453
1,1001,1677505613963,1296169988801,811503
1,1002,1670162563246,1554321237867,300481
1,1003,1598922567195,1598922439579,761397
1,1004,1686305205993,1598098895795,270300
1,1005,1605827311810,1296171709510,485503
1,1006,1698951212703,1,1057888
1,1007,1677074547373,1368292036119,1913283
1,1008,1688403884627,1285475760721,305292
1,1009,1630256788266,1630255769948,231481
1,101,1665280560102,1374182054120,4078085
1,1010,1540843756580,1540843271706,1138009
1,1011,1597371748177,1349477488697,5766975
1,1012,1598473744060,1349477488698,12197849
1,1013,1631289244784,1,2111906
1,1014,1629928714214,1629922916526,339930
1,1015,1614676368600,1614266606482,833448
1,1016,1696281530223,1443988498066,6814645
1,1017,1642007101759,1642006690829,588494
1,1018,1633473795862,1633473724264,2979371
1,1019,1614902571505,1510240384632,456695
1,102,1681966196361,1349477489152,1722522
1,1020,1391535879474,1391429858580,5591409
1,1021,1561285592371,1287867057355,25863113
1,1022,1635241822935,1348705063714,12812052
1,1023,1540078180823,1424737096960,1083962
1,1024,1661125146052,1349477489643,13877054
1,1025,1631081544002,1631033759149,1468218
1,1026,1692216121954,1629930950716,364486
1,1027,1655862364279,1402457591423,529269
1,1028,1676246321259,1672353623551,591562
1,1029,1684408557346,1,2337897
1,103,1643122702266,652168735,925586
1,1030,1586829967240,1387156062534,1569832
1,1031,1673573515000,1349477489210,1335398
1,1032,1607125586951,1607125367550,236032
1,1033,1700514904012,1349477489370,3499138
1,1034,1664298685505,1321299133411,567874
1,1035,1615385500813,1615384493925,644869
1,1036,1632146819384,1632126479687,239197
1,1037,1617883817508,1617650714598,733030
1,1038,1631776102077,1439465882127,234552
1,1039,1631729511216,1631728136681,263692
1,104,1603196179709,1484686866341,2055563
1,1040,1618618987016,1618608073761,2054141
1,1041,1618714135440,1487876951323,246073
1,1042,1517910176564,1517910169528,2697202
1,1043,1655108281953,1368292036119,421831
1,1044,1416899338456,1358388308437,757444
